group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,,
1,9319,431,51.504813,-0.1004,02/03/2020 00:00,09:27:00,02/03/2020 00:00,09:27:00,,2,15717,600,51.504819,-0.100408,09/03/2020 00:00,15:45:00,09/03/2020 00:00,15:46:00,00:01:00,3,17866,800,51.492027,-0.193264,12/03/2020 00:00,21:23:00,12/03/2020 00:00,21:30:00,00:07:00,,
1,9478,432,51.49427,-0.236222,02/03/2020 00:00,11:13:00,02/03/2020 00:00,12:10:00,00:57:00,2,15723,601,51.535897,-0.076812,09/03/2020 00:00,15:55:00,09/03/2020 00:00,15:55:00,00:00:00,3,17868,801,51.469493,-0.171371,12/03/2020 00:00,21:25:00,12/03/2020 00:00,21:25:00,00:00:00,,
1,9556,433,51.405658,-0.162333,02/03/2020 00:00,12:23:00,02/03/2020 00:00,13:24:00,01:01:00,2,15724,602,51.504819,-0.100408,09/03/2020 00:00,15:56:00,09/03/2020 00:00,15:56:00,00:00:00,3,17922,802,51.433027,-0.017886,12/03/2020 00:00,21:58:00,12/03/2020 00:00,21:58:00,00:00:00,,
1,9576,434,51.578469,-0.128116,02/03/2020 00:00,12:37:00,02/03/2020 00:00,13:17:00,00:40:00,2,15725,603,51.513931,-0.070612,09/03/2020 00:00,16:50:00,09/03/2020 00:00,20:06:00,03:16:00,3,17950,803,51.431035,-0.033791,12/03/2020 00:00,22:36:00,12/03/2020 00:00,22:36:00,00:00:00,,
1,9718,435,51.537983,0.001716,02/03/2020 00:00,16:05:00,02/03/2020 00:00,16:51:00,00:46:00,2,15729,604,51.504979,-0.100413,09/03/2020 00:00,16:52:00,09/03/2020 00:00,16:52:00,00:00:00,3,18019,804,51.42368,-0.129867,12/03/2020 00:00,23:40:00,12/03/2020 00:00,23:40:00,00:00:00,,
1,9788,436,51.446545,0.003108,02/03/2020 00:00,17:01:00,02/03/2020 00:00,18:18:00,01:17:00,2,15764,605,51.510954,-0.101858,09/03/2020 00:00,17:13:00,09/03/2020 00:00,17:13:00,00:00:00,3,18021,805,51.63416,0.343396,13/03/2020 00:00,07:50:00,13/03/2020 00:00,07:50:00,00:00:00,,
1,9919,437,51.494438,-0.100345,02/03/2020 00:00,20:26:00,02/03/2020 00:00,21:21:00,00:55:00,2,15787,606,51.380919,-0.183123,09/03/2020 00:00,17:24:00,09/03/2020 00:00,17:24:00,00:00:00,3,18022,806,51.566862,-0.09462,13/03/2020 00:00,08:20:00,13/03/2020 00:00,08:20:00,00:00:00,,
1,9989,438,51.536314,-0.140012,02/03/2020 00:00,23:35:00,03/03/2020 00:00,00:16:00,###############################################################################################################################################################################################################################################################,2,15801,607,51.595459,-0.178228,09/03/2020 00:00,17:30:00,09/03/2020 00:00,17:30:00,00:00:00,3,18023,807,51.54056,-0.063345,13/03/2020 00:00,08:25:00,13/03/2020 00:00,08:25:00,00:00:00,,
1,10049,439,51.542938,0.038728,03/03/2020 00:00,07:51:00,03/03/2020 00:00,08:26:00,00:35:00,2,15804,608,51.460967,-0.218619,09/03/2020 00:00,17:31:00,09/03/2020 00:00,17:31:00,00:00:00,3,18024,808,51.44553,-0.330196,13/03/2020 00:00,09:05:00,13/03/2020 00:00,09:05:00,00:00:00,,
1,10098,440,51.523779,-0.121673,03/03/2020 00:00,09:40:00,03/03/2020 00:00,10:16:00,00:36:00,2,15807,609,51.392662,-0.093883,09/03/2020 00:00,17:32:00,09/03/2020 00:00,17:32:00,00:00:00,3,18025,809,51.462817,-0.121838,13/03/2020 00:00,09:29:00,13/03/2020 00:00,09:29:00,00:00:00,,
1,10164,441,51.405643,-0.162289,03/03/2020 00:00,11:04:00,04/03/2020 00:00,00:18:00,01:14:00,2,15817,610,51.535906,-0.076522,09/03/2020 00:00,17:47:00,09/03/2020 00:00,17:47:00,00:00:00,3,18026,810,51.491258,-0.231789,13/03/2020 00:00,09:55:00,13/03/2020 00:00,09:55:00,00:00:00,,
1,10233,442,51.578467,-0.128113,03/03/2020 00:00,11:48:00,03/03/2020 00:00,12:23:00,00:35:00,2,15818,611,51.563995,-0.106419,09/03/2020 00:00,17:50:00,09/03/2020 00:00,17:50:00,00:00:00,3,18027,811,51.469538,-0.17166,13/03/2020 00:00,10:14:00,13/03/2020 00:00,10:14:00,00:00:00,,
