id,user_id,bag_id,created_at,updated_at,completed_at,cancelled_at,,,,
534,29,HTTP://BBQR.IO/BQSOR05768,07/03/2020 16:56,07/03/2020 16:56,NULL,NULL,NULL,NULL,NULL,NULL
444,159,HTTP://BBQR.IO/BQSOR05127,03/03/2020 13:42,03/03/2020 13:42,NULL,03/03/2020 13:42,NULL,NULL,NULL,NULL
458,159,HTTP://BBQR.IO/BQSOR05125,04/03/2020 12:28,04/03/2020 13:22,NULL,04/03/2020 13:22,NULL,NULL,NULL,NULL
456,562,HTTP://BBQR.IO/BQSOR05184,04/03/2020 12:26,04/03/2020 12:52,NULL,04/03/2020 12:52,NULL,NULL,NULL,NULL
459,562,HTTP://BBQR.IO/BQSOR05184,04/03/2020 13:18,04/03/2020 13:25,NULL,04/03/2020 13:25,NULL,NULL,NULL,NULL
892,562,HTTP://BBQR.IO/BQBET01588,15/03/2020 13:19,15/03/2020 15:44,NULL,15/03/2020 15:44,NULL,NULL,NULL,NULL
921,562,HTTP://BBQR.IO/BQSOR05125,16/03/2020 09:18,19/03/2020 11:32,NULL,19/03/2020 11:32,NULL,NULL,NULL,NULL
1007,562,HTTP://BBQR.IO/BQBET05906,19/03/2020 12:53,19/03/2020 12:53,NULL,NULL,NULL,NULL,NULL,NULL
460,1055,HTTP://BBQR.IO/BQSOR04971,04/03/2020 13:20,04/03/2020 17:38,NULL,04/03/2020 17:38,NULL,NULL,NULL,NULL
650,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:02,10/03/2020 14:03,NULL,10/03/2020 14:03,NULL,NULL,NULL,NULL
651,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:03,10/03/2020 14:03,NULL,10/03/2020 14:03,NULL,NULL,NULL,NULL
652,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:03,10/03/2020 14:03,NULL,10/03/2020 14:03,NULL,NULL,NULL,NULL
653,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:04,10/03/2020 14:04,NULL,10/03/2020 14:04,NULL,NULL,NULL,NULL
654,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:04,10/03/2020 14:04,NULL,10/03/2020 14:04,NULL,NULL,NULL,NULL
655,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:06,10/03/2020 14:06,NULL,10/03/2020 14:06,NULL,NULL,NULL,NULL
656,1125,HTTP://BBQR.IO/BQBAJ20771,10/03/2020 14:06,10/03/2020 14:06,NULL,10/03/2020 14:06,NULL,NULL,NULL,NULL
496,1153,HTTP://BBQR.IO/BQTBD01310,06/03/2020 15:45,06/03/2020 15:46,NULL,06/03/2020 15:46,NULL,NULL,NULL,NULL
569,1153,HTTP://BBQR.IO/BQTBD01310,09/03/2020 09:59,09/03/2020 11:44,NULL,09/03/2020 11:44,NULL,NULL,NULL,NULL
581,1153,HTTP://BBQR.IO/BQSOR05134,09/03/2020 12:28,09/03/2020 13:03,NULL,09/03/2020 13:03,NULL,NULL,NULL,NULL
585,1153,HTTP://BBQR.IO/BQSOR05134,09/03/2020 13:03,09/03/2020 13:19,NULL,09/03/2020 13:19,NULL,NULL,NULL,NULL
588,1153,HTTP://BBQR.IO/BQSOR05134,09/03/2020 13:19,09/03/2020 13:19,NULL,09/03/2020 13:19,NULL,NULL,NULL,NULL
591,1153,HTTP://BBQR.IO/BQBET01614,09/03/2020 13:46,09/03/2020 13:47,NULL,09/03/2020 13:47,NULL,NULL,NULL,NULL
592,1153,HTTP://BBQR.IO/BQBET01018,09/03/2020 13:48,09/03/2020 13:49,NULL,09/03/2020 13:49,NULL,NULL,NULL,NULL
596,1153,HTTP://BBQR.IO/BQSOR05134,09/03/2020 15:13,09/03/2020 15:54,NULL,09/03/2020 15:54,NULL,NULL,NULL,NULL
614,1153,HTTP://BBQR.IO/BQSOR05134,09/03/2020 18:07,09/03/2020 18:08,NULL,09/03/2020 18:08,NULL,NULL,NULL,NULL
660,1153,HTTP://BBQR.IO/BQBET01588,10/03/2020 15:39,10/03/2020 15:50,NULL,10/03/2020 15:50,NULL,NULL,NULL,NULL
663,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:47,10/03/2020 16:47,NULL,10/03/2020 16:47,NULL,NULL,NULL,NULL
664,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:47,10/03/2020 16:48,NULL,10/03/2020 16:48,NULL,NULL,NULL,NULL
665,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:48,10/03/2020 16:49,NULL,10/03/2020 16:49,NULL,NULL,NULL,NULL
666,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:49,10/03/2020 16:49,NULL,10/03/2020 16:49,NULL,NULL,NULL,NULL
667,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:49,10/03/2020 16:50,NULL,10/03/2020 16:50,NULL,NULL,NULL,NULL
668,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:50,10/03/2020 16:50,NULL,10/03/2020 16:50,NULL,NULL,NULL,NULL
669,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:50,10/03/2020 16:50,NULL,10/03/2020 16:50,NULL,NULL,NULL,NULL
670,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:50,10/03/2020 16:51,NULL,10/03/2020 16:51,NULL,NULL,NULL,NULL
671,1153,HTTP://BBQR.IO/BQSOR05080,10/03/2020 16:51,10/03/2020 16:51,NULL,10/03/2020 16:51,NULL,NULL,NULL,NULL
431,1169,HTTP://BBQR.IO/BQSOR05080,02/03/2020 09:27,02/03/2020 09:27,NULL,02/03/2020 09:27,NULL,NULL,NULL,NULL
445,1169,HTTP://BBQR.IO/BQSOR05080,03/03/2020 15:37,03/03/2020 16:06,NULL,03/03/2020 16:06,NULL,NULL,NULL,NULL
447,1169,HTTP://BBQR.IO/BQSOR05080,03/03/2020 16:06,03/03/2020 16:06,NULL,03/03/2020 16:06,NULL,NULL,NULL,NULL
448,1169,HTTP://BBQR.IO/BQSOR05080,03/03/2020 16:06,03/03/2020 16:06,NULL,03/03/2020 16:06,NULL,NULL,NULL,NULL
449,1169,HTTP://BBQR.IO/BQSOR05080,03/03/2020 16:07,03/03/2020 16:07,NULL,03/03/2020 16:07,NULL,NULL,NULL,NULL
455,1169,HTTP://BBQR.IO/BQSOR05080,04/03/2020 12:24,04/03/2020 12:41,NULL,04/03/2020 12:41,NULL,NULL,NULL,NULL
462,1169,HTTP://BBQR.IO/BQSOR05080,04/03/2020 16:04,04/03/2020 16:32,NULL,04/03/2020 16:32,NULL,NULL,NULL,NULL
466,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 08:52,05/03/2020 08:52,NULL,05/03/2020 08:52,NULL,NULL,NULL,NULL
467,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 08:54,05/03/2020 08:59,NULL,05/03/2020 08:59,NULL,NULL,NULL,NULL
468,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 08:59,05/03/2020 09:07,NULL,05/03/2020 09:07,NULL,NULL,NULL,NULL
473,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 11:16,05/03/2020 11:16,NULL,05/03/2020 11:16,NULL,NULL,NULL,NULL
474,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 11:16,05/03/2020 11:45,NULL,05/03/2020 11:45,NULL,NULL,NULL,NULL
476,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 12:43,05/03/2020 13:41,NULL,05/03/2020 13:41,NULL,NULL,NULL,NULL
477,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 14:23,05/03/2020 14:23,NULL,05/03/2020 14:23,NULL,NULL,NULL,NULL
479,1169,HTTP://BBQR.IO/BQSOR05080,05/03/2020 15:37,05/03/2020 20:08,NULL,05/03/2020 20:08,NULL,NULL,NULL,NULL
494,1169,HTTP://BBQR.IO/BQTBD01310,06/03/2020 15:42,06/03/2020 15:42,NULL,NULL,NULL,NULL,NULL,NULL
457,1170,HTTP://BBQR.IO/BQSOR04989,04/03/2020 12:27,04/03/2020 12:36,NULL,04/03/2020 12:36,NULL,NULL,NULL,NULL
535,1170,HTTP://BBQR.IO/BQSOR05455,07/03/2020 16:57,07/03/2020 16:57,NULL,NULL,NULL,NULL,NULL,NULL
491,1171,HTTP://BBQR.IO/BQSOR05376,06/03/2020 12:44,06/03/2020 13:06,NULL,06/03/2020 13:06,NULL,NULL,NULL,NULL
461,1173,HTTP://BBQR.IO/BQSOR02400,04/03/2020 14:51,04/03/2020 15:34,NULL,04/03/2020 15:34,NULL,NULL,NULL,NULL
440,1175,HTTP://BBQR.IO/BQSOR02399,03/03/2020 09:40,03/03/2020 10:17,NULL,03/03/2020 10:17,NULL,NULL,NULL,NULL
436,1180,HTTP://BBQR.IO/BQSOR05120,02/03/2020 17:01,02/03/2020 18:18,NULL,02/03/2020 18:18,NULL,NULL,NULL,NULL
443,1180,HTTP://BBQR.IO/BQSOR05120,03/03/2020 12:43,03/03/2020 13:54,NULL,03/03/2020 13:54,NULL,NULL,NULL,NULL
450,1180,HTTP://BBQR.IO/BQSOR05120,03/03/2020 17:08,03/03/2020 18:16,NULL,03/03/2020 18:16,NULL,NULL,NULL,NULL
493,1180,HTTP://BBQR.IO/BQSOR05120,06/03/2020 13:23,06/03/2020 14:27,NULL,06/03/2020 14:27,NULL,NULL,NULL,NULL
497,1180,HTTP://BBQR.IO/BQSOR05120,06/03/2020 15:50,06/03/2020 16:35,NULL,06/03/2020 16:35,NULL,NULL,NULL,NULL
548,1180,HTTP://BBQR.IO/BQSOR05120,08/03/2020 12:47,08/03/2020 13:43,NULL,08/03/2020 13:43,NULL,NULL,NULL,NULL
434,1181,HTTP://BBQR.IO/BQSOR05151,02/03/2020 12:37,02/03/2020 13:17,NULL,02/03/2020 13:17,NULL,NULL,NULL,NULL
438,1181,HTTP://BBQR.IO/BQSOR05151,02/03/2020 23:35,03/03/2020 00:16,NULL,03/03/2020 00:16,NULL,NULL,NULL,NULL
442,1181,HTTP://BBQR.IO/BQSOR05151,03/03/2020 11:48,03/03/2020 12:23,NULL,03/03/2020 12:23,NULL,NULL,NULL,NULL
464,1181,HTTP://BBQR.IO/BQSOR05151,05/03/2020 05:13,05/03/2020 05:53,NULL,05/03/2020 05:53,NULL,NULL,NULL,NULL
