id,duration,start_date,start_station_name,start_station_id,end_date,,end_station_id,campaign_id,campaign_type,zip_code
4576,63,8/29/2013 14:13,,66,8/29/2013,14:14,66,520,Subscriber,
5108,694,8/29/2013 23:57,,71,8/30/2013,00:09,61,477,Subscriber,
6478,944,8/30/2013 23:51,,73,8/31/2013,00:07,66,448,Subscriber,
20506,72246,9/13/2013 15:46,,50,9/14/2013,11:50,58,344,Customer,
21760,309479,9/14/2013 18:21,,12,9/18/2013,08:19,16,242,Customer,
21917,237060,9/15/2013 0:37,,14,9/17/2013,18:28,6,650,Customer,
22264,76404,9/15/2013 13:50,,54,9/16/2013,11:03,54,575,Customer,
26291,85878,9/18/2013 16:44,,33,9/19/2013,16:35,33,148,Customer,
28171,1356,9/20/2013 0:00,,60,9/20/2013,00:22,67,424,Customer,
29412,21194,9/20/2013 19:23,,8,9/21/2013,01:16,8,52,Customer,
29888,67808,9/21/2013 16:07,,59,9/22/2013,10:57,59,288,Customer,
30876,21967,9/22/2013 18:20,,77,9/23/2013,00:26,74,290,Customer,
32121,597517,9/23/2013 18:24,,36,9/30/2013,16:23,34,168,Customer,
32172,53067,9/23/2013 18:59,,48,9/24/2013,09:43,70,320,Subscriber,
33020,84791,9/24/2013 13:12,,12,9/25/2013,12:45,9,28,Customer,
35351,397,9/25/2013 23:58,,70,9/26/2013,00:05,49,275,Subscriber,
36367,52649,9/26/2013 17:48,,57,9/27/2013,08:25,57,273,Customer,
38067,21113,9/27/2013 21:32,,63,9/28/2013,03:24,63,369,Customer,
38508,39228,9/28/2013 14:53,,54,9/29/2013,01:47,54,410,Customer,
56781,84665,10/13/2013 19:13,,10,10/14/2013,18:44,10,502,Customer,
57638,39359,10/14/2013 15:41,,76,10/15/2013,02:37,72,331,Customer,
59188,30145,10/15/2013 15:56,,60,10/16/2013,00:19,60,202,Customer,
60258,209181,10/16/2013 10:06,,55,10/18/2013,20:13,55,593,Customer,
61230,15860,10/16/2013 20:41,,71,10/17/2013,01:06,71,326,Customer,
62246,429384,10/17/2013 16:06,,42,10/22/2013,15:23,39,465,Customer,
62737,229914,10/17/2013 19:35,,26,10/20/2013,11:27,16,226,Subscriber,
63455,83716,10/18/2013 11:27,,74,10/19/2013,10:42,54,490,Customer,
